Model,k,Final RMSE,Best RMSE,c
UAutoRec,32,0.9363073580805049,0.9336128618459506,hpf
UAutoRec1conf,32,0.9384244781355989,0.933653543701304,hpf
UAutoRec1confexp,32,1.0204354202256298,0.9397941051841721,hpf
UAutoRec2conf,32,0.9272358785551367,0.924238572399164,hpf
UAutoRec2confexp,32,0.9254740809147292,0.9184487076711146,hpf
UAutoRec,32,0.9349037839140568,0.9320026604368281,mlp
UAutoRec1conf,32,0.9412808634747494,0.933257349789686,mlp
UAutoRec1confexp,32,1.0306276215352856,0.9373636671112275,mlp
UAutoRec2conf,32,0.9345926421924049,0.9287706983757259,mlp
UAutoRec2confexp,32,0.9305287488217956,0.9183413626346321,mlp
